id,titolo,autore,genere,stato,note
1,L'anniversario,Andrea Bajani,narrativa_contemporanea,uguale,
2,"Verrà l'alba, starai bene",Gianluca Gotto,narrativa_contemporanea,uguale,
3,Io che ti ho voluto così bene,Roberta Recchia,narrativa_contemporanea,uguale,
4,La governante,Csaba dalla Zorza,narrativa_contemporanea,uguale,
5,M. La fine e il principio,Antonio Scurati,narrativa_contemporanea,uguale,
6,La portalettere,Francesca Giannone,narrativa_contemporanea,uguale,
7,La strada giovane,Antonio Albanese,narrativa_contemporanea,uguale,
8,L'amante perduta di Shakespeare,Felicia Kingsley,narrativa_contemporanea,uguale,
9,Ciliegie amare,Liliana Nechita,narrativa_contemporanea,no_ebook,non c'è ebook
10,Platone. Una storia d'amore,Matteo Nucci,narrativa_contemporanea,uguale,
11,La ragazzina,Valeria Parrella,narrativa_contemporanea,uguale,
12,Il Gregge,Davide Grittani,narrativa_contemporanea,no_ebook,non c'è ebook
13,Una luce abbondante,Sonia Serazzi,narrativa_contemporanea,uguale,
14,Pagine azzurre,Eleanor Perry,narrativa_contemporanea,uguale,
15,Ci vediamo in agosto,Gabriel García Márquez,narrativa_contemporanea,uguale,
16,Game of desire. Devozione,Hazel Riley,narrativa_contemporanea,uguale,
17,Limitless. Senza paura,Karim B.,narrativa_contemporanea,uguale,
18,Red. Colpo di fulmine,Stefania S.,narrativa_contemporanea,uguale,
19,Soltanto il giorno,Santina Cosetta,narrativa_contemporanea,uguale,
20,Il libro bianco,Han Kang,narrativa_contemporanea,uguale,
21,Tatà,Valérie Perrin,narrativa_contemporanea,uguale,
22,La luce degli incendi a dicembre,Matteo Bussola,narrativa_contemporanea,uguale,
23,Il passato è un morto senza cadavere,Antonio Manzini,giallo_thriller,uguale,
24,L'ultimo segreto,Dan Brown,giallo_thriller,uguale,
25,Volver. Ritorno per il commissario Ricciardi,Maurizio de Giovanni,giallo_thriller,uguale,
26,Il pappagallo muto,Maurizio de Giovanni,giallo_thriller,uguale,
27,La catastrofica visita allo zoo,Joël Dicker,giallo_thriller,uguale,
28,La casa dei silenzi,Donato Carrisi,giallo_thriller,uguale,
29,Delitto di benvenuto,Cristina Cassar Scalia,giallo_thriller,uguale,
30,Mandorla amara,Cristina Cassar Scalia,giallo_thriller,uguale,
31,Le terme dell'Indirizzo,Cristina Cassar Scalia,giallo_thriller,uguale,
32,Il tallone da killer,Alessandro Robecchi,giallo_thriller,uguale,
33,Miss Bee e il cadavere in biblioteca,Alessia Gazzola,giallo_thriller,uguale,
34,Never flinch,Stephen King,giallo_thriller,uguale,
35,Le aquile della notte,Alice Basso,giallo_thriller,uguale,
36,Il trattamento del silenzio,Gian Andrea Cerone,giallo_thriller,diversa,modifiche lievi nella dimensione del titolo e nella disposizione delle bande gialle
37,Delitto a Tokyo,Keigo Higashino,giallo_thriller,uguale,
38,L'uomo dagli occhi tristi,Piergiorgio Pulixi,giallo_thriller,uguale,
39,Non mentire,Freida McFadden,giallo_thriller,uguale,
40,Un animale selvaggio,Joël Dicker,giallo_thriller,uguale,
41,Ninfee nere,Michel Bussi,giallo_thriller,uguale,
42,Labirinti,Franck Thilliez,giallo_thriller,uguale,
43,Mimica,Sebastian Fitzek,giallo_thriller,uguale,
44,Love Mom,Iliana Xander,giallo_thriller,uguale,
45,Le voci intorno a me,Natalie Chandler,giallo_thriller,uguale,
